"Item","Món hàng"
"Reports","Các báo cáo"
"Create Till Report","Tạo báo cáo của máy bán hàng"
"List Till Reports","Danh sách báo cáo của các máy bán hàng"
"Create Quick Report","Tạo báo cáo nhanh"
"Create Order Report","Tạo báo cáo đơn hàng"
"CLOSE TILL - REPORT","Đóng máy bán hàng - Báo cáo"
"END OF DAY REPORTS - LIST","Báo cáo cuối ngày - Danh sách"
"Count cash","Đếm tiền mặt"
"No Payment Methods","Không có phương thức thanh toán"
"Swiper","Quẹt thẻ"
"Credit Card Type","Loại thẻ tín dụng"
"Please Select","Hãy chọn"
"Credit Card Number","Số thẻ tín dụng "
"Card Verification Number","Số xác minh thẻ"
"Click here to swipe","Click vào đây để quẹt thẻ"
"Name on Card","Tên chủ thẻ"
"Expiration Date","Ngày hết hạn"
"Amount Tendered","Số tiền thanh toán"
"Change","Tiền thừa"
"PAY","THANH TOÁN"
"Order","Đơn hàng"
"created successfully","đã được tạo thành công"
"OK","OK"
"General Options","Tùy chọn chung"
"General","Cơ bản"
"Enable X-POS","Sử dụng X-POS"
"License Key","Key sử dụng"
"Store view","Store view"
"Enable shortcut","Mở phím tắt"
"Last check update","Lần kiểm tra cập nhật gần nhất"
"Order Processing in Checkout","Xử lý đơn hàng trong lúc thanh toán"
"Display create Invoice in POS","Hiện thị phần tạo hóa đơn trong X-POS"
"Display create Shipment in POS","Hiển thị phần tạo đơn vận chuyển trong X-POS"
"Create Invoice default","Tạo hóa đơn mặc định"
"Create Shipment default","Tạo đơn vận chuyển mặc định"
"Default Payment Method","Phương thức thanh toán mặc định"
"Default Shipping Method","Phương thức vận chuyển mặc định"
"Change Item Price","Sửa giá sản phẩm"
"Confirm on Checkout","Xác nhận đơn hàng khi thanh toán"
"Print on opening Cash Transfer","In khi mở khay đựng tiền"
"Multiple Tills and Stores","Nhiều máy bán hàng và nhà kho"
"Multiple Warehouses","Nhiều nhà kho"
"Enable Till","Quản lý theo máy bán hàng"
"Cashier","Thu ngân"
"Enabled cashier","Bật tính năng thu ngân"
"Automatic logout","Tự động đăng xuất"
"Login time-out","Thời gian đăng nhập"
"Total Tax","Tổng Thuế"
"Enable shortcut key for X-POS","Bật phím tắt cho X-POS"
"Enable X-POS extension.","Sử dụng X-POS"
"Select Store View for orders in X-POS","Chọn Store View cho đơn hàng trong X-POS"
"Set if possible to change setting in POS interface","Bật nếu bạn muốn thay đổi thiết lập ở giao diện của X-POS"
"Set if Invoice is default created on Checkout","Bật nếu hóa đơn được tạo mặc định khi thanh toán"
"Set if Shipping is default created on Checkout.","Bật nếu hóa đơn vận chuyển được tạo mặc định khi thanh toán"
"Enable custom price in X-POS","Bật tính năng sửa giá trên X-POS"
"Display prompt when user press Checkout button","Hiển thị các tùy chọn của đơn hàng khi bạn ấn nút Thanh toán"
"This function makes it possible to open a cash drawer through a receipt printer ","Chức năng này cho phép mở khay đựng tiền khi nó được kết nối với máy in"
"Enable X-Multi-Warehouse functionality (Please note, that X-Multi-Warehouse is a separate extension) ","Bật tính năng của X-Mutli Warehouses, đây là một sản phẩm tách biệt với X-POS"
"Enable local searching for products","Bật tìm kiếm sản phẩm ở máy local"
"Enable/Disable using fast local storage for searching customers","Bật tìm kiếm khách hàng ở máy local"
"Fields used for search","Các trường của sản phẩm dùng để tìm kiếm"
"The more items selected, the slower the search","Chú ý: càng nhiều trường được chọn thì tìm kiếm sẽ càng chậm"
"Filter Products Displayed in X-Pos","Các thuộc tính để phân loại sản phẩm dùng trên X-POS"
"Search only enabled products","Chỉ tìm kiếm những sản phẩm được kích hoạt"
"Search Product Type","Tìm kiếm theo loại sản phẩm"
"Search In Stock Products Only","Chỉ tìm kiếm sản phẩm còn trong kho"
"Search Product Visibility","Tìm kiếm sản phẩm theo "
"Search Result Display","Hiển thị kết quả tìm kiếm"
"Lucky search","Chọn sản phẩm nhanh"
"When only one result in search, it is added automatically to order","Khi chỉ có 1 kết quả hiển thị ở tìm kiếm, sản phẩm sẽ được thêm tự động vào đơn hàng"
"Number of result","Số lượng kết quả tìm kiếm"
"Offline Mode","Chế độ Offline"
"Enable if X-POS should synchronize with online store","Bật nếu X-POS cần đồng bộ với cửa hàng trực tuyến"
"Data load interval","Khoảng thời gian giữa 2 requests "
"Interval between data load requests (in seconds)","Khoảng thời gian giữa các requests (tính theo giây)"
"Data reload interval","Thời gian load lại dữ liệu"
"nterval between data reload cache (in seconds)","Khoảng thời gian giữa 2 lần load lại dữ liệu (tính theo giây)"
"Network check interval","Khoảng thời gian kiểm tra mạng"
"Interval between network check requests (in seconds)","Khoảng thời gian giữa 2 lần kiểm tra mạng (tính theo giây)"
"Customer per request","Số khách hàng trong từng request"
"Amount of customer records per loading request","Lượng khách hàng lấy về từng request"
"Product per request","Số sản phẩm từng request"
"Amount of product records per loading request","Lượng sản phẩm lấy về từng request"
"Guest Information","Thông tin khách hàng mặc định"
"Guest information is used as default information for a guest checkout in X-Pos.","Thông tin này là mặc định được dùng cho khách hàng chưa có trong database"
"Defaul Customer Id","Customer ID mặc định"
"Name","Tên"
"Countries","Quốc Gia"
"Postal Code","Mã bưu chính"
"Receipt","Hóa đơn"
"Paper size print invoice","Cỡ giấy in hóa đơn"
"Style for printing invoice. Settings refer to width (210mm equals to A4)","Cỡ giấy in, tính theo chiều rộng (210mm tương đương cỡ A4)"
"Email Receipt","Gửi email hóa đơn"
"Default Enable Email Receipt","Mặc định chọn gửi email hóa đơn"
"Email sender","Email người gửi"
"New Order Confirmation Template for Sales","Định dạng email của đơn hàng mới cho bộ phận sales"
"Send Order Email Copy To Sales","Cùng gửi email đơn hàng đến bộ phận sales: "
"Comma-separated","Cách nhau bằng dấu phẩy"
"New Order Confirmation Template for Customer","Định dạng email của đơn hàng mới gửi khách hàng"
"New Order Confirmation Template for Guest","Định dạng email của đơn hàng mới gửi khách hàng"
"Send Invoice Email Copy Method","Cách thức gửi email"
"Separate Email","Email riêng lẻ"
"Bcc","Bcc"
"Enable Till Report (Z-Report)","Bật báo cáo của máy bán hàng (Z-Report)"
"Admin only","Chỉ dành cho Admin"
"Enable Quick Report (X-Report)","Bật báo cáo nhanh của máy bán hàng (X-Report)"
"Link to POS report","Liên kết đến báo cáo của POS"
"Z-Report settings","Thiết lập Z-Report"
"Denomination","Mệnh giá"
"Use Custom Value","Sử dụng giá trị tự định nghĩa"
"Select a pre-configured list of denominations for use in Till report on counting cash.","Lựa chọn danh sách mệnh giá tiền được hỗ trợ để sử dụng khi đếm tiền trong báo cáo máy bán hàng"
"Custom Denomination","Mệnh giá tự định nghĩa"
"Saperate by comma. Ex: 1 cent : 0.01, $5 note : 5,... ","Phân cách bởi dấu phẩy. Ví dụ: 1 cent : 0.01, $5 note : 5,... "
"Default Transfer Money","Lượng tiền chuyển lại vào máy bán hàng mặc định"
"Default amount placed in till upon closing a till. Amount can be modified when creating till report.","Lượng tiền mặc định chuyển vào máy bán hàng khi đóng ca. Lượng tiền này có thể được thay đổi khi tạo báo cáo"
"Customize Layout","Tùy chỉnh giao diện"
"Logo in receipt","Logo ở hóa đơn"
"Recommended size: width 128px and height 32px.","Kích thước khuyên dùng: rộng 128px và cao 32px."
"Recommended size: width 124px and height 60px.","Kích thước khuyên dùng: rộng 124px và cao 60px."
"Colour Banner","Màu banner"
"Colour Text","Màu chữ"
"Colour Icon","Màu Icon"
"Contact SmartOSC","Liên hệ SmartOSC"
"Report Issue","Thông báo lỗi"
"Link to support tickets","Liên kết đến hệ thống hỗ trợ"
"Send feedback","Gửi phản hồi"
